;Recipe ID;Title;Meal;Q_Merge_Label;Ingredients;Calories;Protein;Carbs;Fat;Link;Price;V_0
0;1;Ada (Adai);1;11;['1 cup split Bengal gram (chana dal)', '1 cup skinned split black lentils (urad dal)', '1/2 cup split yellow lentils (moong dal)', '1 cup rice', 'salt to taste', '2 dried red chile peppers, or to taste', 'water, as needed', '2 tablespoons cumin seeds', '2 tablespoons cooking oil'];177;9.1 ;29.9;2.5 ;http://allrecipes.com/Recipe/Ada(Adai)Recipe-Allrecipes/;12;0
1;2;Avocado Breakfast Bowl;1;12;['1/2 cup water', '1/4 cup red quinoa', '1 1/2 teaspoons olive oil', '2 eggs', '1 pinch salt and ground black pepper to taste', '1/4 teaspoon seasoned salt', '1/4 teaspoon ground black pepper', '1 avocado, dicedHass AvocadosEveryday SavingsLEARN MOREADVERTISEMENT', '2 tablespoons crumbled feta cheese'];372;12.7 ;24.1;26.8 ;http://allrecipes.com/Recipe/Avocado-Breakfast-Bowl-Recipe;5;0
2;3;Black Bean Breakfast Bowl;1;13;['2 tablespoons olive oil', '4 eggs, beaten', '1 (15 ounce) can black beans, drained and rinsed', '1 avocado, peeled and slicedHass AvocadosEveryday SavingsLEARN MOREADVERTISEMENT', '1/4 cup salsa', 'salt and ground black pepper to taste'];625;27.9 ;46.6;38.8 ;http://allrecipes.com/Recipe/Black-Bean-Breakfast-Bowl-Recipe;11;0
3;4;Blueberry and Banana Steel Cut Oats;1;14;['2 cups water', '2 cups almond milk365 Everyday ValueÂ® Organic AlmondmilkEveryday SavingsLEARN MOREADVERTISEMENT', '2 cups blueberries', '2 ripe bananas, mashed', '1 cup steel-cut oats', '2 tablespoons honey', '2 teaspoons vanilla extract', '1 teaspoon ground cinnamon', '1/4 teaspoon salt'];315;6.8 ;64.6;4.3 ;http://allrecipes.com/Recipe/Blueberry-and-Banana-Steel-Cut-Oats-Recipe;8;0
4;5;Chef John's Shakshuka;1;15;['2 tablespoons olive oilGreat Value Extra Virgin Olive Oil 17 ozAdds smooth flavor to your everyday cookingBUY NOWADVERTISEMENT', '1 large onion, diced', '1/2 cup sliced fresh mushrooms', '1 teaspoon salt, or more to taste', '1 cup diced red bell pepper', '1 jalapeno pepper, seeded and sliced', '1 teaspoon cumin', '1/2 teaspoon paprika', '1/2 teaspoon ground turmeric', '1/2 teaspoon freshly ground black pepper, plus more to taste', '1/4 teaspoon cayenne pepper', '1 (28 ounce) can crushed San Marzano tomatoes, or other high-quality plum tomatoes', '1/2 cup water, or more as needed', '6 large eggs', '2 tablespoons crumbled feta cheese', '2 tablespoons chopped fresh parsley'];185;9.9 ;14.9;10.8 ;http://allrecipes.com/Recipe/Chef-John's-Shakshuka-Recipe;5;0
5;6;Chorizo Breakfast Tacos with Potato Hash and Eggs;1;16;['2 tablespoons vegetable oil', '2 baked potatoes, peeled and cubed', '1/2 cup chopped onion', '1/2 teaspoon garlic powder', '1/2 teaspoon onion powder', 'salt and freshly ground black pepper', '7 ounces chorizo sausage, removed from casings', '5 eggs', '1 tablespoon milk', '3 tablespoons finely chopped fresh cilantro, divided', '6 small corn tortillas, warmed', '1/2 cup shredded Cheddar cheese', '6 tablespoons salsa'];421;19.6 ;27.9;26.1 ;http://allrecipes.com/Recipe/Chorizo-Breakfast-Tacos-with-Potato-Hash-and-Eggs-Recipe;9;0
6;7;Gluten-Free Hot Breakfast Cereal;1;17;['1 cup brown basmati rice', '1/2 cup quinoa', '1/2 cup millet', '1/2 cup buckwheat groats', '1/2 cup sesame seeds', '1/2 cup flax seeds', '1/2 cup cornmeal', '1/2 cup amaranth'];257;7.9 ;40.8;8 ;http://allrecipes.com/Recipe/Gluten-Free-Hot-Breakfast-Cereal-Recipe;6;0
7;8;Japanese Souffle Pancakes;1;18;['1 cup milk', '1 tablespoon white vinegar', '1 cup all-purpose flour', '1/4 cup white sugar', '2 teaspoons baking powder', '2 large eggs, separated', '1/4 teaspoon vanilla extract', '1 tablespoon Japanese mayonnaise (such as KewpieÂ®)', '1 tablespoon butter365 Everyday ValueÂ® Organic ButterEveryday SavingsLEARN MOREADVERTISEMENT'];281;8.4 ;40.2;9.6 ;http://allrecipes.com/Recipe/Japanese-Souffle-Pancakes-Recipe;7;0
8;9;Muesli;1;19;['4 1/2 cups rolled oats', '1/2 cup toasted wheat germ', '1/2 cup wheat bran', '1/2 cup oat bran', '1 cup raisins', '1/2 cup chopped walnuts', '1/4 cup packed brown sugar', '1/4 cup raw sunflower seeds'];188;6.1 ;31.8;5.7 ;http://allrecipes.com/Recipe/Muesli-Recipe;8;0
9;10;Wheat Germ Whole-Wheat Buttermilk Pancakes;1;20;['2 eggs, lightly beaten', '1/4 cup canola oil', '2 cups buttermilk', '2 teaspoons baking soda', '1/2 cup wheat germ', '1/2 teaspoon salt', '1 1/2 cups whole wheat pastry flour'];128;5 ;13.2;6.5 ;http://allrecipes.com/Recipe/Wheat-Germ-Whole-Wheat-Buttermilk-Pancakes-Recipe;9;0
