;Recipe ID;Title;Meal;Q_Merge_Label;Ingredients;Calories;Protein;Carbs;Fat;Link;Price;V_0
0;1;Easy Pork Chops for the Slow Cooker;3;31;['1 large onion, sliced into rings', '10 center-cut boneless pork chops, trimmed', '1 (10.75 ounce) can cream of onion soup', '1 (10.75 ounce) can cream of mushroom soup', '5 fluid ounces water', '1 (1 ounce) package ranch dressing mix', '1 (1 ounce) package dry onion soup mix', 'salt and ground black pepper to taste'];237;25 ;9.8;10.1 ;http://allrecipes.com/Recipe/Easy-Pork-Chops-for-the-Slow-Cooker-Recipe;9;0
1;2;Gemelli Pasta with Roasted Pumpkin and Pancetta;3;32;['2 cups peeled, cubed pumpkin', '2 tablespoons extra-virgin olive oil, dividedGreat Value Extra Virgin Olive Oil 17 ozAdds smooth flavor to your everyday cookingBUY NOWADVERTISEMENT', '1 teaspoon fresh thyme', '1/4 teaspoon salt', '1/8 teaspoon ground black pepper', '1/2 (16 ounce) package gemelli pasta', '1 (4 ounce) package diced pancetta', '1 cup chicken broth', '1/4 cup grated Parmigiano-Reggiano cheese'];356;13.8 ;45.8;13.6 ;http://allrecipes.com/Recipe/Gemelli-Pasta-with-Roasted-Pumpkin-and-Pancetta-Recipe;8;0
2;3;Italian Spaghetti Sauce with Meatballs;3;33;['MEATBALLS', '1 pound lean ground beef', '1 cup fresh bread crumbs', '1 tablespoon dried parsley', '1 tablespoon grated Parmesan cheese', '1/4 teaspoon ground black pepper', '1/8 teaspoon garlic powder', '1 egg, beaten', 'SAUCE', '3/4 cup chopped onion', '5 cloves garlic, mincedGreat Value Minced Garlic, 8 ozIn Stores OnlyBUY NOWADVERTISEMENT', '1/4 cup olive oilGreat Value Extra Virgin Olive Oil 17 ozAdds smooth flavor to your everyday cookingBUY NOWADVERTISEMENT', '2 (28 ounce) cans whole peeled tomatoes', '2 teaspoons salt', '1 teaspoon white sugarC&H Pure Cane Granulated Sugar 4 Lb$1.78 for 1 item - expires in a month', '1 bay leaf', '1 (6 ounce) can tomato paste', '3/4 teaspoon dried basil', '1/2 teaspoon ground black pepper'];349;18.9 ;23.7;21.2 ;http://allrecipes.com/Recipe/Italian-Spaghetti-Sauce-with-Meatballs-Recipe;14;0
3;4;Keto Turkey-Stuffed Peppers;3;34;['nonfat cooking spray', '1 tablespoon olive oilGreat Value Extra Virgin Olive Oil 17 ozAdds smooth flavor to your everyday cookingBUY NOWADVERTISEMENT', '1 pound ground turkey', '1/2 cup diced onion', '3 tablespoons diced fresh jalapeno pepper, or to taste', '2 cloves garlic, choppedGreat Value Minced Garlic, 8 ozIn Stores OnlyBUY NOWADVERTISEMENT', '2 cups frozen cauliflower rice (such as Green GiantÂ®)', '1 (14.5 ounce) can diced tomatoes, undrained', '1 (8 ounce) can tomato sauce', '1/2 cup water', '2 teaspoons sambal oelek chili paste', '1/2 teaspoon salt', '2 large bell peppers, any color - cut in half lengthwise, cored, and seeded', '1/2 teaspoon freshly ground black pepper', '4 (1 inch) cubes Colby-Jack cheese', 'aluminum foil', '1/3 cup shredded Colby-Jack cheese', '4 teaspoons reduced-fat sour cream', '8 slices pickled jalapeno peppers (optional)'];463;36.4 ;21.6;27.2 ;http://allrecipes.com/Recipe/Keto-Turkey-Stuffed-Peppers-Recipe;14;0
4;5;Maple-Garlic Marinated Pork Tenderloin;3;35;['2 tablespoons Dijon mustard', '1 teaspoon sesame oil', '3 cloves garlic, mincedGreat Value Minced Garlic, 8 ozIn Stores OnlyBUY NOWADVERTISEMENT', 'fresh ground black pepper to taste', '1 cup maple syrup', '1 1/2 pounds pork tenderloin'];288;23.5 ;36.8;4.9 ;http://allrecipes.com/Recipe/Maple-Garlic-Marinated-Pork-Tenderloin-Recipe;10;0
5;6;Sloppy Joes II;3;36;['1 pound lean ground beefOn Sale: All Ground Beef and Plant-Based ProteinsSee Store for PriceSEE VARIETIESADVERTISEMENT', '1/4 cup chopped onion', '1/4 cup chopped green bell pepper', '1/2 teaspoon garlic powder', '1 teaspoon prepared yellow mustard', '3/4 cup ketchup', '3 teaspoons brown sugar', 'salt to taste', 'ground black pepper to taste'];189;15.1 ;11.2;9.4 ;http://allrecipes.com/Recipe/Sloppy-Joes-II-Recipe;12;0
6;7;Slow Cooker Pulled Pork;3;37;['1 (2 pound) pork tenderloin', '1 (12 fluid ounce) can or bottle root beer', '1 (18 ounce) bottle your favorite barbecue sauce', '8 hamburger buns, split and lightly toasted'];335;21.2 ;49.4;5 ;http://allrecipes.com/Recipe/Slow-Cooker-Pulled-Pork-Recipe;8;0
7;8;Spicy Pork Tenderloin with Apples and Sweet Potatoes;3;38;['cooking spray', '1 tablespoon ground ginger', '1 tablespoon light brown sugar', '1 teaspoon chipotle chili powder, or to taste', 'salt and ground black pepper to taste', '2 (1 1/2 pound) pork tenderloins', '4 apples, peeled and cut into 8 pieces each', '1 large sweet potato, peeled and cut into 1 1/2-inch piecesOrganic Sweet PotatoesEveryday SavingsLEARN MOREADVERTISEMENT', '4 tablespoons butter, cut into small pieces365 Everyday ValueÂ® Organic ButterEveryday SavingsLEARN MOREADVERTISEMENT', '1 1/2 cups apple cider', '1 lime, juiced', '1/2 teaspoon granulated garlic', '1/2 teaspoon ground ginger', '1/8 teaspoon chipotle chile powder', '1/8 teaspoon garam masala', 'salt and ground black pepper to taste', 'aluminum foil'];212;18.5 ;20.3;6.4 ;http://allrecipes.com/Recipe/Spicy-Pork-Tenderloin-with-Apples-and-Sweet-Potatoes-Recipe;5;0
8;9;Sweet Potato and Venison Shepherd's Pie;3;39;['Topping:', '1 large sweet potatoOrganic Sweet PotatoesEveryday SavingsLEARN MOREADVERTISEMENT', '2 tablespoons unsalted butter, softened', '2 tablespoons milk, or more as needed', '1/2 teaspoon salt, or to taste', '1/4 teaspoon ground black pepper, or to taste', '1/4 teaspoon dried sage', '1 pinch freshly ground nutmeg', '1/2 cup shredded sharp Cheddar cheese', 'Filling:', '2 tablespoons vegetable oil', '1 (8 ounce) package cremini mushrooms, sliced', '1 large onion, chopped', '2 carrots, peeled and chopped', '1 stalk celery, chopped', '4 cloves garlic, chopped', 'salt to taste', '1 pound ground venison', '1 teaspoon dried thyme', '1 teaspoon dried oregano', '1 teaspoon garlic powder', '1 teaspoon onion powder', '1/2 teaspoon ground black pepper, or to taste', '1/2 teaspoon dried sage', '2 tablespoons all-purpose flour', '2/3 cup dry white wineChateau Ste. Michelle RieslingA refreshing wine with flavors of crisp apple. Great for sipping or pairingLEARN MOREADVERTISEMENT', '1 cup low-sodium chicken broth', '1 cup frozen peas'];358;23.1 ;29.5;14.2 ;http://allrecipes.com/Recipe/Sweet-Potato-and-Venison-Shepherd's-Pie-Recipe;10;0
9;10;World's Best Lasagna;3;40;['1 pound sweet Italian sausage', '3/4 pound lean ground beef', '1/2 cup minced onion', '2 cloves garlic, crushedGreat Value Minced Garlic, 8 ozIn Stores OnlyBUY NOWADVERTISEMENT', '1 (28 ounce) can crushed tomatoes', '2 (6 ounce) cans tomato paste', '2 (6.5 ounce) cans canned tomato sauce', '1/2 cup water', '2 tablespoons white sugarC&H Pure Cane Granulated Sugar 4 Lb$1.78 for 1 item - expires in a month', '1 1/2 teaspoons dried basil leaves', '1/2 teaspoon fennel seeds', '1 teaspoon Italian seasoning', '1 1/2 teaspoons salt, divided, or to taste', '1/4 teaspoon ground black pepper', '4 tablespoons chopped fresh parsley', '12 lasagna noodles', '16 ounces ricotta cheese', '1 egg', '3/4 pound mozzarella cheese, sliced', '3/4 cup grated Parmesan cheese'];448;29.7 ;36.5;21.3 ;http://allrecipes.com/Recipe/World's-Best-Lasagna-Recipe;7;0
